file,status,action,reason,duration,start,end,trimmed_duration,trim_head,trim_tail,threshold
1MSTAR.mp4,ok,trimmed,trim-detected,9.267,0.450,9.267,8.817,0.450,0.000,25.00
abominable.mp4,ok,trimmed,trim-detected,10.783,0.950,10.050,9.100,0.950,0.733,54.40
abyssalhunter.mp4,ok,trimmed,trim-detected,14.549,1.450,13.049,11.599,1.450,1.500,138.80
accursed.mp4,ok,trimmed,trim-detected,10.500,0.450,9.550,9.100,0.450,0.950,25.00
aegis.mp4,ok,trimmed,trim-detected,13.900,2.950,12.050,9.100,2.950,1.850,129.60
aegiswatergun.mp4,ok,trimmed,trim-detected,16.067,5.450,14.550,9.100,5.450,1.517,160.00
aether.mp4,ok,trimmed,trim-detected,21.567,6.450,18.550,12.100,6.450,3.017,50.40
afterparty.mp4,ok,trimmed,trim-detected,8.983,0.000,8.550,8.550,0.000,0.433,25.00
amethyst.mp4,ok,trimmed,trim-detected,12.075,0.436,9.284,8.848,0.436,2.791,25.00
anima.mp4,ok,trimmed,trim-detected,11.200,0.450,10.050,9.600,0.450,1.150,25.00
antivirus.mp4,ok,trimmed,trim-detected,11.945,1.452,10.561,9.109,1.452,1.385,131.60
anubis.mp4,ok,trimmed,trim-detected,12.646,2.953,12.062,9.109,2.953,0.584,92.80
apatite.mp4,ok,trimmed,trim-detected,13.010,0.447,9.501,9.054,0.447,3.509,25.00
apocalypse.mp4,ok,trimmed,trim-detected,13.596,3.484,12.672,9.188,3.484,0.924,133.60
apostolos.mp4,ok,trimmed,trim-detected,10.133,0.950,9.550,8.600,0.950,0.583,66.80
apostolosveil.mp4,ok,trimmed,trim-detected,17.100,4.450,13.550,9.100,4.450,3.550,180.40
apotheosis.mp4,ok,trimmed,trim-detected,9.852,0.948,9.852,8.904,0.948,0.000,148.80
aquatic.mp4,ok,trimmed,trim-detected,9.357,0.449,8.042,7.592,0.449,1.315,25.00
aquaticflame.mp4,ok,trimmed,trim-detected,10.778,0.950,10.050,9.100,0.950,0.728,25.00
arachnophobia.mp4,ok,trimmed,trim-detected,10.807,0.932,10.807,9.874,0.932,0.000,25.00
arcane.mp4,ok,trimmed,trim-detected,11.733,0.450,9.550,9.100,0.450,2.183,25.00
arcanedark.mp4,ok,trimmed,trim-detected,11.867,0.450,9.550,9.100,0.450,2.317,25.00
arcanelegacy.mp4,ok,trimmed,trim-detected,12.333,0.450,9.550,9.100,0.450,2.783,25.00
archangel.mp4,ok,trimmed,trim-detected,11.950,0.450,10.050,9.600,0.450,1.900,25.00
archmage.mp4,ok,trimmed,trim-detected,11.067,0.450,9.550,9.100,0.450,1.517,25.00
ascendant.mp4,ok,trimmed,trim-detected,11.333,0.450,9.550,9.100,0.450,1.783,25.00
ash.mp4,ok,trimmed,trim-detected,9.099,2.450,7.050,4.600,2.450,2.049,30.00
astral.mp4,ok,trimmed,trim-detected,14.071,0.970,10.251,9.281,0.970,3.820,119.20
astrallegendarium.mp4,ok,trimmed,trim-detected,10.700,0.450,9.550,9.100,0.450,1.150,25.00
astralzodiac.mp4,ok,trimmed,trim-detected,11.167,1.450,10.550,9.100,1.450,0.617,48.40
atlas.mp4,ok,trimmed,trim-detected,12.600,2.450,11.550,9.100,2.450,1.050,79.60
atlasatlas.mp4,ok,trimmed,trim-detected,12.100,0.000,6.050,6.050,0.000,6.050,25.00
atlasyuletide.mp4,ok,trimmed,trim-detected,12.367,0.950,10.050,9.100,0.950,2.317,60.00
atomic.mp4,ok,trimmed,trim-detected,8.310,0.954,5.069,4.116,0.954,3.241,61.60
atomicribonucleic.mp4,ok,trimmed,trim-detected,9.530,2.413,6.454,4.041,2.413,3.076,60.00
